chr_id,embryo_id,crossover_position,z_score
1,106996,0.809639,2.144556
1,107095,0.066790,1.979581
1,107095,0.269215,1.970979
1,107095,0.441554,2.067397
1,107095,0.720599,1.977451
1,107196,0.783281,2.047702
1,107404,0.151162,1.988969
1,107404,0.263672,1.974313
1,107404,0.943831,2.009289
1,107511,0.075694,2.037725
1,107511,0.150747,1.981779
1,107511,0.271973,1.977423
1,107511,0.595885,1.968662
1,107511,0.618761,1.968662
1,107511,0.770474,2.448093
1,107511,0.873002,1.969937
1,107620,0.642017,1.982550
1,107620,0.812368,2.094895
1,107844,0.980707,1.990091
1,109300,0.073866,1.992067
1,109300,0.151088,1.996176
1,109300,0.642158,1.967629
1,109300,0.671220,1.971966
1,109300,0.811806,1.971883
1,109300,0.825504,2.072150
1,109300,0.965167,1.963726
1,109397,0.037427,2.029985
1,109397,0.383672,2.102648
1,109397,0.637673,2.028234
1,109496,0.151162,1.974039
1,109496,0.270781,2.034867
1,109496,0.638074,2.149136
1,109496,0.809892,2.058211
1,82884,0.740406,2.297589
1,119755,0.060581,1.988472
1,119755,0.473785,2.062111
1,119755,0.777353,1.977426
1,122687,0.456470,1.966390
1,122687,0.642345,2.058828
1,86840,0.149683,1.987905
1,86840,0.258598,1.979905
1,86840,0.403985,2.230171
1,86840,0.641637,1.988179
1,86840,0.899192,2.006950
1,86840,0.968963,2.191657
1,87040,0.037455,2.178195
1,87040,0.057036,3.217929
1,87040,0.365243,3.731478
1,87040,0.757641,4.025122
1,87040,0.974346,2.000409
1,87248,0.046251,2.090215
1,87248,0.105679,1.925493
1,87248,0.263157,2.106582
1,87248,0.431941,2.136343
1,87248,0.705845,2.056663
1,87248,0.954302,2.019745
1,77586,0.041453,2.360852
1,77586,0.939060,3.117525
1,146053,0.059528,2.273574
1,146053,0.405653,2.279327
1,142469,0.361569,2.434776
1,80845,0.238696,1.991311
1,80845,0.892786,2.173900
1,142778,0.056757,2.004275
1,142778,0.100720,1.967866
1,142778,0.908874,1.970629
1,72494,0.965651,1.971084
1,78178,0.434400,2.021846
1,78178,0.965638,2.106537
1,78279,0.614465,3.210242
1,146978,0.229719,2.033520
1,145324,0.053603,2.018481
1,145324,0.216122,2.055856
1,145627,0.057821,1.972283
1,145627,0.306740,2.696413
1,145627,0.826711,2.077006
1,145839,0.171032,2.061991
1,145839,0.268178,2.140959
1,145839,0.271873,2.801072
1,145839,0.419329,2.442235
1,145839,0.638845,2.651304
1,145839,0.905117,2.134806
1,146059,0.830775,2.039279
1,146059,0.847144,2.114455
1,79997,0.256269,2.208630
1,79997,0.717454,2.383193
1,80096,0.100156,3.155265
1,80096,0.224334,2.038204
1,80096,0.300412,2.149775
1,80096,0.406615,2.045719
1,80096,0.781580,1.974571
1,80096,0.936407,2.396012
1,148464,0.040276,2.213345
1,148464,0.045779,2.908642
1,80405,0.279291,2.090048
1,80405,0.603866,1.976835
1,78926,0.098972,2.411457
1,78926,0.160107,2.193142
1,78926,0.227910,2.030938
1,78926,0.395429,2.095226
1,78926,0.480424,4.045694
1,78926,0.639167,2.302972
1,78926,0.670116,2.044053
1,78926,0.951952,1.967958
1,79025,0.112910,2.423605
1,79025,0.138396,2.124354
1,76525,0.163822,2.080125
1,76525,0.231826,4.231569
1,76525,0.351928,2.050314
1,76525,0.361246,2.338901
1,76525,0.385990,2.914288
1,76525,0.442807,2.851568
1,76525,0.629667,4.652560
1,76525,0.944361,2.404928
1,152600,0.145778,1.983742
1,152600,0.178414,2.378838
1,152600,0.633454,2.009735
1,152600,0.801375,1.996765
1,152600,0.895648,2.084069
1,152820,0.160067,2.145403
1,152820,0.628783,5.107120
